title,material,weight,transport,recyclability,true_eco_score,co2_emissions,origin,material_confidence,secondary_materials,packaging_type,packaging_materials,packaging_weight_ratio,inferred_category,origin_confidence,estimated_lifespan_years,repairability_score,size_category,quality_level,is_eco_labeled,is_amazon_choice,pack_size,estimated_volume_l,weight_confidence
reusable water bottle,Steel,1.85,Air,High,F,5.83,BRAZIL,0.4,[],bottle,"['Plastic', 'Glass']",0.15,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
reusable water bottle,Cardboard,0.55,Land,Medium,B,0.35,RUSSIA,0.4,[],bottle,"['Plastic', 'Glass']",0.15,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
reusable water bottle,Bamboo,1.06,Land,Medium,C,0.57,INDIA,0.4,[],bottle,"['Plastic', 'Glass']",0.15,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
reusable water bottle,Bamboo,1.81,Air,Medium,F,2.44,SINGAPORE,0.4,[],bottle,"['Plastic', 'Glass']",0.15,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
reusable water bottle,Paper,0.2,Land,Medium,B,0.09,UK,0.4,[],bottle,"['Plastic', 'Glass']",0.15,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
reusable water bottle,Aluminum,1.02,Air,High,F,2.86,INDIA,0.4,[],bottle,"['Plastic', 'Glass']",0.15,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
reusable water bottle,Cardboard,0.85,Air,Medium,F,1.34,INDIA,0.4,[],bottle,"['Plastic', 'Glass']",0.15,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
reusable water bottle,Paper,1.53,Ship,Medium,D,0.55,INDIA,0.4,[],bottle,"['Plastic', 'Glass']",0.15,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
reusable water bottle,Other,0.42,Air,Medium,F,0.95,NORWAY,0.3,[],bottle,"['Plastic', 'Glass']",0.15,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
reusable water bottle,Cardboard,0.36,Land,Medium,C,0.23,INDIA,0.4,[],bottle,"['Plastic', 'Glass']",0.15,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
reusable water bottle,Steel,0.65,Ship,High,C,0.66,BRAZIL,0.4,[],bottle,"['Plastic', 'Glass']",0.15,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
reusable water bottle,Glass,1.34,Land,High,D,1.41,INDIA,0.4,[],bottle,"['Plastic', 'Glass']",0.15,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
reusable water bottle,Paper,1.42,Ship,Medium,D,0.51,GERMANY,0.4,[],bottle,"['Plastic', 'Glass']",0.15,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
reusable water bottle,Paper,0.79,Air,Medium,F,0.89,ITALY,0.4,[],bottle,"['Plastic', 'Glass']",0.15,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
