title,material,weight,transport,recyclability,true_eco_score,co2_emissions,origin,category,search_term
reusable water bottle,Steel,1.85,Air,High,F,5.83,BRAZIL,,
reusable water bottle,Cardboard,0.55,Land,Medium,B,0.35,RUSSIA,,
reusable water bottle,Bamboo,1.06,Land,Medium,C,0.57,INDIA,,
reusable water bottle,Bamboo,1.81,Air,Medium,F,2.44,SINGAPORE,,
reusable water bottle,Paper,0.2,Land,Medium,B,0.09,UK,,
reusable water bottle,Aluminum,1.02,Air,High,F,2.86,INDIA,,
reusable water bottle,Cardboard,0.85,Air,Medium,F,1.34,INDIA,,
reusable water bottle,Paper,1.53,Ship,Medium,D,0.55,INDIA,,
reusable water bottle,Other,0.42,Air,Medium,F,0.95,NORWAY,,
reusable water bottle,Cardboard,0.36,Land,Medium,C,0.23,INDIA,,
reusable water bottle,Steel,0.65,Ship,High,C,0.66,BRAZIL,,
reusable water bottle,Glass,1.34,Land,High,D,1.41,INDIA,,
reusable water bottle,Paper,1.42,Ship,Medium,D,0.51,GERMANY,,
reusable water bottle,Paper,0.79,Air,Medium,F,0.89,ITALY,,
reusable water bottle,Bamboo,0.1,Ship,Medium,A+,0.04,SINGAPORE,,
reusable water bottle,Steel,1.87,Air,High,F,5.89,ITALY,,
reusable water bottle,Plastic,0.56,Air,Low,F,1.68,RUSSIA,,
reusable water bottle,Paper,1.5,Ship,Medium,D,0.54,GERMANY,,
reusable water bottle,Steel,0.23,Land,High,C,0.29,RUSSIA,,
reusable water bottle,Other,0.84,Land,Medium,C,0.76,ITALY,,
reusable water bottle,Glass,1.05,Ship,High,B,0.88,CHINA,,
reusable water bottle,Other,1.43,Ship,Medium,D,1.03,INDIA,,
reusable water bottle,Paper,0.15,Ship,Medium,D,0.05,GERMANY,,
reusable water bottle,Steel,0.73,Ship,High,C,0.74,INDIA,,
reusable water bottle,Plastic,1.13,Land,Low,C,1.36,CHINA,,
reusable water bottle,Plastic,0.99,Ship,Low,C,0.95,CHINA,,
reusable water bottle,Paper,0.85,Land,Medium,F,0.38,ITALY,,
reusable water bottle,Aluminum,1.27,Land,High,D,1.42,ITALY,,
reusable water bottle,Aluminum,0.89,Land,High,D,1.0,NORWAY,,
reusable water bottle,Aluminum,1.11,Land,High,D,1.24,JAPAN,,
reusable water bottle,Plastic,0.19,Ship,Low,F,0.18,INDIA,,
reusable water bottle,Other,0.94,Air,High,F,1.64,SINGAPORE,,
reusable water bottle,Cardboard,0.91,Ship,Medium,A,0.46,ITALY,,
